id,sex,observed_on,quality_grade,url,image_url,description,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_county_name,place_state_name,scientific_name,common_name
6711590,m,2017-06-17,research,https://www.inaturalist.org/observations/6711590,https://inaturalist-open-data.s3.amazonaws.com/photos/8515958/medium.jpg,Lifer! The most beautiful butterfly that I've ever seen.,"Madison County, NC, USA",35.91939167,-82.78123,,,,,,,,FALSE,,,Madison,North Carolina,Speyeria diana,Diana Fritillary
6764663,m,2017-06-11,research,https://www.inaturalist.org/observations/6764663,https://static.inaturalist.org/photos/8596005/medium.jpeg,,"Cherokee County, AL, USA",34.4250864,-85.58452606,342,,,,342,,,FALSE,,,Cherokee,Alabama,Speyeria diana,Diana Fritillary
6891292,m,2017-07-02,research,https://www.inaturalist.org/observations/6891292,https://inaturalist-open-data.s3.amazonaws.com/photos/8791526/medium.jpeg,,"Sullivan County, TN, USA",36.57299201,-82.23416671,7,,,,7,,,FALSE,,,Sullivan,Tennessee,Speyeria diana,Diana Fritillary
7055347,m,2017-07-14,research,https://www.inaturalist.org/observations/7055347,https://static.inaturalist.org/photos/9056271/medium.jpg,,"Fairview, North Carolina",35.544493,-82.370571,13,,,,13,,,FALSE,,,Buncombe,North Carolina,Speyeria diana,Diana Fritillary
7558891,m,2017-08-19,research,https://www.inaturalist.org/observations/7558891,https://static.inaturalist.org/photos/9867418/medium.jpeg,,"199 Lollis Rd, Candler, NC 28715, USA",35.49754219,-82.64809078,9,,,,9,,,FALSE,,,Buncombe,North Carolina,Speyeria diana,Diana Fritillary
7612560,m,2017-08-21,research,https://www.inaturalist.org/observations/7612560,https://static.inaturalist.org/photos/9950583/medium.jpg,,"Overton County, US-TN, US",36.34802281,-85.13817111,10,,,,10,,,FALSE,,,Overton,Tennessee,Speyeria diana,Diana Fritillary
7675165,f,2017-08-21,research,https://www.inaturalist.org/observations/7675165,https://inaturalist-open-data.s3.amazonaws.com/photos/10050951/medium.jpg,,"Overton County, TN, USA",36.34804167,-85.13825283,10,,,,10,,,FALSE,,,Overton,Tennessee,Speyeria diana,Diana Fritillary
7677490,m,2017-08-21,research,https://www.inaturalist.org/observations/7677490,https://inaturalist-open-data.s3.amazonaws.com/photos/10050995/medium.jpg,individual at upper left,"Fentress County, TN, USA",36.41706932,-85.02714157,122,,,,122,,,FALSE,,,Fentress,Tennessee,Speyeria diana,Diana Fritillary
7678205,f,2017-08-21,research,https://www.inaturalist.org/observations/7678205,https://inaturalist-open-data.s3.amazonaws.com/photos/10056434/medium.jpg,,"Overton County, TN, USA",36.34759,-85.13769,,,,,,,,FALSE,,,Overton,Tennessee,Speyeria diana,Diana Fritillary
7727811,m,2017-08-21,research,https://www.inaturalist.org/observations/7727811,https://inaturalist-open-data.s3.amazonaws.com/photos/10138199/medium.jpg,,"Overton County, TN, USA",36.34691496,-85.13635039,84,,,,84,,,FALSE,,,Overton,Tennessee,Speyeria diana,Diana Fritillary
7727814,f,2017-08-21,research,https://www.inaturalist.org/observations/7727814,https://inaturalist-open-data.s3.amazonaws.com/photos/10138201/medium.jpg,,"Overton County, TN, USA",36.34691496,-85.13635039,84,,,,84,,,FALSE,,,Overton,Tennessee,Speyeria diana,Diana Fritillary
7728386,f,2017-08-21,research,https://www.inaturalist.org/observations/7728386,https://inaturalist-open-data.s3.amazonaws.com/photos/10139886/medium.jpg,,"Near Alpine, Tenn",36.34630219,-85.1351,800,,,,800,,,FALSE,,,Overton,Tennessee,Speyeria diana,Diana Fritillary
7728387,m,2017-08-21,research,https://www.inaturalist.org/observations/7728387,https://inaturalist-open-data.s3.amazonaws.com/photos/10139895/medium.jpg,,"Near Alpine, Tenn",36.34630219,-85.1351,800,,,,800,,,FALSE,,,Overton,Tennessee,Speyeria diana,Diana Fritillary
7730809,f,2017-08-31,research,https://www.inaturalist.org/observations/7730809,https://inaturalist-open-data.s3.amazonaws.com/photos/10143831/medium.jpg,,"Pickett County, US-TN, US",36.56369006,-84.78766833,5,,,,5,,,FALSE,,,Pickett,Tennessee,Speyeria diana,Diana Fritillary
7776321,m,2017-08-17,research,https://www.inaturalist.org/observations/7776321,https://inaturalist-open-data.s3.amazonaws.com/photos/10218145/medium.jpeg,Male,"Blount County, TN, USA",35.63985454,-83.68910551,31,,,,31,,,FALSE,,,Blount,Tennessee,Speyeria diana,Diana Fritillary
7790106,f,2017-09-04,research,https://www.inaturalist.org/observations/7790106,https://inaturalist-open-data.s3.amazonaws.com/photos/10240380/medium.jpeg,,"Frederick Law Olmsted Way, Asheville, NC 28806, USA",35.5008316,-82.60111237,,,,,,,,FALSE,gps,gps,Buncombe,North Carolina,Speyeria diana,Diana Fritillary
7957131,f,2017-09-16,research,https://www.inaturalist.org/observations/7957131,https://static.inaturalist.org/photos/10512532/medium.jpg,,"Great Smoky Mountains National Park, Cherokee, NC, US",35.62113667,-83.11666117,,,,,,,,FALSE,,,Haywood,North Carolina,Speyeria diana,Diana Fritillary
8024397,f,2017-09-20,research,https://www.inaturalist.org/observations/8024397,https://inaturalist-open-data.s3.amazonaws.com/photos/10623188/medium.jpeg,,Coweeta Hydrologic Laboratory,35.059415,-83.43145333,,,,,,,,FALSE,,,Macon,North Carolina,Speyeria diana,Diana Fritillary
9004788,m,2008-07-06,research,https://www.inaturalist.org/observations/9004788,https://static.inaturalist.org/photos/12138496/medium.jpg,,"Georgia, US",33.8030877,-84.40550325,516,,,,28902,obscured,,TRUE,gps,gps,Cobb,Georgia,Speyeria diana,Diana Fritillary
9439877,m,2014-06-21,research,https://www.inaturalist.org/observations/9439877,https://inaturalist-open-data.s3.amazonaws.com/photos/12834485/medium.jpg,Looking Glass Rock trail,"Transylvania County, NC, USA",35.29668363,-82.78618813,901,,,,901,,,FALSE,,,Transylvania,North Carolina,Speyeria diana,Diana Fritillary
9869051,m,2014-06-13,research,https://www.inaturalist.org/observations/9869051,https://inaturalist-open-data.s3.amazonaws.com/photos/13523230/medium.jpeg,,"Ratcliff, AR 72951, USA",35.30794052,-93.8898365,244,,,,244,,,FALSE,,,Logan,Arkansas,Speyeria diana,Diana Fritillary
9869054,f,2013-06-09,research,https://www.inaturalist.org/observations/9869054,https://inaturalist-open-data.s3.amazonaws.com/photos/13523237/medium.jpg,,"Barling, AR, USA",35.32260755,-94.28739395,488,,,,488,,,FALSE,,,Sebastian,Arkansas,Speyeria diana,Diana Fritillary
10357370,m,2014-06-14,research,https://www.inaturalist.org/observations/10357370,https://inaturalist-open-data.s3.amazonaws.com/photos/14366755/medium.jpg,,"Marion County, TN, USA",35.14032126,-85.42796976,193,,,,193,,,FALSE,,,Marion,Tennessee,Speyeria diana,Diana Fritillary
10357371,m,2014-06-14,research,https://www.inaturalist.org/observations/10357371,https://inaturalist-open-data.s3.amazonaws.com/photos/14366757/medium.jpg,,"Marion County, TN, USA",35.14032126,-85.42796976,193,,,,193,,,FALSE,,,Marion,Tennessee,Speyeria diana,Diana Fritillary
10357548,m,2014-06-15,research,https://www.inaturalist.org/observations/10357548,https://inaturalist-open-data.s3.amazonaws.com/photos/14367197/medium.jpg,,"Marion County, TN, USA",35.14021598,-85.4266823,193,,,,193,,,FALSE,,,Marion,Tennessee,Speyeria diana,Diana Fritillary
10493579,f,2017-07-02,research,https://www.inaturalist.org/observations/10493579,https://inaturalist-open-data.s3.amazonaws.com/photos/14593287/medium.jpg,,"Black Rock Mountain State Park, Clayton, GA, US",34.90149415,-83.41654505,11795,,,,11795,,,FALSE,,,Rabun,Georgia,Speyeria diana,Diana Fritillary
13413139,m,2015-08-17,research,https://www.inaturalist.org/observations/13413139,https://inaturalist-open-data.s3.amazonaws.com/photos/19677859/medium.jpg,"Speyeria diana
17 Aug 2015
SC, Greenville Co., Raven Cliff Falls Trail","Raven Cliff Falls Trail, Greenville County, South Carolina",35.111587,-82.641237,422,,,,422,,,FALSE,,manual,Greenville,South Carolina,Speyeria diana,Diana Fritillary
