Record.Number,Scientific.Name,sex,Specimen.Type,Status,Region(s),Lat/Long,Longitude,Precision
1220048,Speyeria diana,M,Photograph,Resident,United StatesTennesseeCarter County,36.3953066,-82.1227669,point record
1220950,Speyeria diana,M,Photograph,Resident,United StatesTennesseeBlount County,35.59825831,-83.84372631,point record
1222522,Speyeria diana,M,Photograph,Resident,United StatesTennesseeCarter County,36.3953066,-82.1227669,point record
1233804,Speyeria diana,F,Photograph,Resident,United StatesTennesseeScott County,36.5534535,-84.523463,point record
1241412,Speyeria diana,M,Photograph,Resident,United StatesTennesseePutnam County,36.10297709,-85.19932249,point record
1251655,Speyeria diana,M,Photograph,Resident,Franklin CountyArkansasUnited States,35.3355247,-94.0383803,point record
1255423,Speyeria diana,M,Photograph,Resident,United StatesTennesseeSevier County,35.68023708,-83.46257687,point record
1255822,Speyeria diana,F,Photograph,Resident,United StatesTennesseeMarion County,35.071256,-85.3700239,point record
1255824,Speyeria diana,M,Photograph,Resident,United StatesTennesseeMarion County,35.1326908,-85.4191739,point record
1258003,Speyeria diana,M,Photograph,Resident,United StatesTennesseeSullivan County,36.5996251,-81.9236279,point record
1258563,Speyeria diana,M,Photograph,Resident,United StatesVirginiaPatrick County,36.76292019,-80.18444284,point record
1269279,Speyeria diana,F,Photograph,Resident,United StatesTennesseeFranklin County,35.2033865,-85.93773877,point record
1269281,Speyeria diana,M,Photograph,Resident,United StatesTennesseeGrundy County,35.241984,-85.8390528,point record
1269386,Speyeria diana,M,Photograph,Resident,United StatesNorth CarolinaTransylvania County,35.36440264,-82.7777761,point record
1271932,Speyeria diana,M,Photograph,Resident,United StatesWest VirginiaFayette County,37.979895,-80.945753,point record
1274671,Speyeria diana,F,Photograph,Resident,United StatesAlabamaCleburne County,33.69468789,-85.56019764,point record
1274672,Speyeria diana,M,Photograph,Resident,United StatesAlabamaCleburne County,33.75650808,-85.54275685,point record
1286324,Speyeria diana,F,Photograph,Unknown,United StatesTennesseeFentress County,36.4789533,-84.8601119,point record
1294758,Speyeria diana,M,Photograph,Resident,United StatesGeorgiaUnion County,34.7625158,-84.077253,point record
1294806,Speyeria diana,M,Photograph,Resident,United StatesOklahomaOkmulgee County,35.81125396,-96.1430633,point record
1295236,Speyeria diana,M,Photograph,Resident,United StatesArkansasPope County,35.279108,-93.06286,point record
1296563,Speyeria diana,M,Photograph,Resident,United StatesOklahomaPittsburg County,35.2336409,-95.4799457,point record
1296765,Speyeria diana,F,Photograph,Resident,United StatesOklahomaPittsburg County,35.2336409,-95.4799457,point record
1297242,Speyeria diana,M,Photograph,Resident,United StatesKansasSedgwick County,37.78953876,-97.35994264,point record
1297628,Speyeria diana,M,Photograph,Resident,United StatesOklahomaOkmulgee County,35.81227798,-96.1440579,point record
1298408,Speyeria diana,M,Photograph,Resident,United StatesNorth CarolinaMadison County,35.86635795,-82.75818281,point record
1298409,Speyeria diana,F,Photograph,Resident,United StatesNorth CarolinaMadison County,35.87080941,-82.75268965,point record
1298818,Speyeria diana,M,Photograph,Resident,VirginiaUnited States,37.3631631,-80.31880043,point record
1307090,Speyeria diana,M,Photograph,Resident,United StatesNorth CarolinaTransylvania County,35.31026791,-82.68797769,point record
1309749,Speyeria diana,M,Sighting,Resident,Wythe CountyVirginiaUnited States,37.02427601,-81.17924069,point record
1309750,Speyeria diana,F,Sighting,Resident,Wythe CountyVirginiaUnited States,37.04069323,-81.20909377,point record
1309779,Speyeria diana,F,Sighting,Resident,Craig CountyVirginiaUnited States,37.58652186,-80.13863009,point record
1310896,Speyeria diana,F,Sighting,Resident,Montgomery CountyVirginiaUnited States,37.33472728,-80.33130566,point record
1314552,Speyeria diana,M,Photograph,Resident,United StatesOklahomaTulsa County,35.89169681,-95.79679012,point record
